track_name,release_year,year_distribution
Another Love,2013,"{2014: 0.13795761078998073, 2015: 0.0882466281310212, 2016: 0.05356454720616571, 2017: 0.04393063583815029, 2018: 0.048554913294797684, 2019: 0.04007707129094412, 2020: 0.03969171483622351, 2021: 0.11946050096339114, 2022: 0.2631984585741811, 2023: 0.1653179190751445}"
Anyone,2021,"{2014: 0.0008285004142502071, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.5584092792046396, 2022: 0.2651201325600663, 2023: 0.1756420878210439}"
Arcade feat FLETCHER,2020,"{2014: 0.08159618820726623, 2015: 0.07980941036331149, 2016: 0.07206670637284097, 2017: 0.0, 2018: 0.0, 2019: 0.04526503871351995, 2020: 0.04466944609886837, 2021: 0.43478260869565216, 2022: 0.20428826682549137, 2023: 0.03752233472304944}"
As I Am feat Khalid,2021,"{2014: 0.035161744022503515, 2015: 0.02390998593530239, 2016: 0.02109704641350211, 2017: 0.01969057665260197, 2018: 0.02109704641350211, 2019: 0.014064697609001406, 2020: 0.011251758087201125, 2021: 0.48523206751054854, 2022: 0.26441631504922647, 2023: 0.10407876230661041}"
As It Was,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.6940104166666666, 2023: 0.3059895833333333}"
Astronaut In The Ocean,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.007556675062972292, 2021: 0.7216624685138538, 2022: 0.18513853904282115, 2023: 0.08564231738035265}"
Attention,2018,"{2014: 0.0025974025974025974, 2015: 0.0017316017316017316, 2016: 0.0025974025974025974, 2017: 0.5246753246753246, 2018: 0.20173160173160173, 2019: 0.08225108225108226, 2020: 0.05800865800865801, 2021: 0.04242424242424243, 2022: 0.047619047619047616, 2023: 0.03636363636363636}"
Back To You,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.010683760683760684, 2018: 0.6965811965811965, 2019: 0.12606837606837606, 2020: 0.06196581196581197, 2021: 0.042735042735042736, 2022: 0.03418803418803419, 2023: 0.027777777777777776}"
Bad and Boujee feat Lil Uzi Vert,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.05982905982905983, 2017: 0.44700854700854703, 2018: 0.13675213675213677, 2019: 0.11452991452991453, 2020: 0.10170940170940171, 2021: 0.06666666666666667, 2022: 0.05555555555555555, 2023: 0.017948717948717947}"
Bad At Love,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.5152129817444219, 2019: 0.09634888438133875, 2020: 0.10141987829614604, 2021: 0.11967545638945233, 2022: 0.09533468559837728, 2023: 0.0720081135902637}"
bad guy,2019,"{2014: 0.07368995633187773, 2015: 0.06168122270742358, 2016: 0.0425764192139738, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.18831877729257643, 2022: 0.4104803493449782, 2023: 0.2232532751091703}"
Bad Habits,2021,"{2014: 0.04449938195302843, 2015: 0.04326328800988875, 2016: 0.04326328800988875, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.40914709517923364, 2022: 0.32509270704573545, 2023: 0.13473423980222496}"
Bad Things with Camila Cabello,2017,"{2014: 0.017448200654307525, 2015: 0.013086150490730643, 2016: 0.11123227917121047, 2017: 0.5343511450381679, 2018: 0.13631406761177753, 2019: 0.08942202835332606, 2020: 0.04143947655398037, 2021: 0.026172300981461286, 2022: 0.018538713195201745, 2023: 0.011995637949836423}"
Baila Conmigo with Rauw Alejandro,2021,"{2014: 0.036585365853658534, 2015: 0.022764227642276424, 2016: 0.04796747967479675, 2017: 0.0008130081300813008, 2018: 0.0, 2019: 0.0008130081300813008, 2020: 0.0, 2021: 0.4715447154471545, 2022: 0.2739837398373984, 2023: 0.14552845528455285}"
Bam Bam feat Ed Sheeran,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.6703841387856257, 2023: 0.32961586121437425}"
Bandido,2020,"{2014: 0.1231079717457114, 2015: 0.13521695257315844, 2016: 0.11301715438950555, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.018163471241170535, 2021: 0.5216952573158425, 2022: 0.07063572149344097, 2023: 0.018163471241170535}"
Bank Account,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.005084745762711864, 2018: 0.5779661016949152, 2019: 0.211864406779661, 2020: 0.05677966101694915, 2021: 0.05, 2022: 0.05677966101694915, 2023: 0.04152542372881356}"
Barbie World with Aqua From Barbie The Album,2023,"{2014: 0.0038022813688212928, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 0.9961977186311787}"
Be Alright,2018,"{2014: 0.05533596837944664, 2015: 0.03458498023715415, 2016: 0.04693675889328063, 2017: 0.0, 2018: 0.1793478260869565, 2019: 0.32954545454545453, 2020: 0.1383399209486166, 2021: 0.10029644268774704, 2022: 0.07509881422924901, 2023: 0.040513833992094864}"
Be Careful,2018,"{2014: 0.04230317273795535, 2015: 0.04230317273795535, 2016: 0.03760282021151586, 2017: 0.0, 2018: 0.45475910693301996, 2019: 0.18213866039952997, 2020: 0.0881316098707403, 2021: 0.05875440658049354, 2022: 0.06227967097532315, 2023: 0.03172737955346651}"
Beautiful Mistakes feat Megan Thee Stallion,2021,"{2014: 0.017890772128060263, 2015: 0.014124293785310734, 2016: 0.01224105461393597, 2017: 0.0, 2018: 0.0009416195856873823, 2019: 0.0, 2020: 0.0009416195856873823, 2021: 0.4613935969868173, 2022: 0.3775894538606403, 2023: 0.11487758945386065}"
Beautiful People feat Khalid,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.5370879120879121, 2020: 0.22527472527472528, 2021: 0.034340659340659344, 2022: 0.11950549450549451, 2023: 0.08379120879120878}"
Before You Go,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.004108463434675432, 2020: 0.5891536565324569, 2021: 0.209531635168447, 2022: 0.1076417419884963, 2023: 0.0895645028759244}"
Beggin,2017,"{2014: 0.01764705882352941, 2015: 0.004411764705882353, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.5544117647058824, 2022: 0.2897058823529412, 2023: 0.1338235294117647}"
Believer,2017,"{2014: 0.009538152610441768, 2015: 0.009036144578313253, 2016: 0.008283132530120483, 2017: 0.17319277108433734, 2018: 0.23669678714859438, 2019: 0.20933734939759036, 2020: 0.14834337349397592, 2021: 0.11395582329317269, 2022: 0.0730421686746988, 2023: 0.01857429718875502}"
Best Friend feat Doja Cat,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.4342105263157895, 2022: 0.35964912280701755, 2023: 0.20614035087719298}"
Better,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0027266530334014998, 2017: 0.0, 2018: 0.0, 2019: 0.39809134287661896, 2020: 0.16155419222903886, 2021: 0.20313565098841171, 2022: 0.16155419222903886, 2023: 0.07293796864349011}"
Better Now,2018,"{2014: 0.004755434782608696, 2015: 0.006114130434782609, 2016: 0.001358695652173913, 2017: 0.0, 2018: 0.4313858695652174, 2019: 0.311820652173913, 2020: 0.11480978260869565, 2021: 0.050951086956521736, 2022: 0.04551630434782609, 2023: 0.03328804347826087}"
Better Things,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
BICHOTA,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.24210526315789474, 2021: 0.49473684210526314, 2022: 0.1849624060150376, 2023: 0.07819548872180451}"
Big 7,2023,"{2014: 0.0036496350364963502, 2015: 0.0072992700729927005, 2016: 0.010948905109489052, 2017: 0.0072992700729927005, 2018: 0.0036496350364963502, 2019: 0.0036496350364963502, 2020: 0.0, 2021: 0.0036496350364963502, 2022: 0.0, 2023: 0.9598540145985401}"
Big FU,2023,"{2014: 0.08888888888888889, 2015: 0.050793650793650794, 2016: 0.16825396825396827, 2017: 0.015873015873015872, 2018: 0.03492063492063492, 2019: 0.012698412698412698, 2020: 0.025396825396825397, 2021: 0.1111111111111111, 2022: 0.015873015873015872, 2023: 0.47619047619047616}"
Black Beatles,2016,"{2014: 0.01195219123505976, 2015: 0.010956175298804782, 2016: 0.20119521912350596, 2017: 0.13247011952191234, 2018: 0.10358565737051793, 2019: 0.1643426294820717, 2020: 0.12151394422310757, 2021: 0.09661354581673307, 2022: 0.09561752988047809, 2023: 0.061752988047808766}"
Blinding Lights,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.6197783461210571, 2021: 0.20630861040068202, 2022: 0.10912190963341858, 2023: 0.06479113384484228}"
Blueberry Faygo,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.6911976911976911, 2021: 0.1645021645021645, 2022: 0.0836940836940837, 2023: 0.06060606060606061}"
Bodak Yellow,2018,"{2014: 0.0010638297872340426, 2015: 0.0005319148936170213, 2016: 0.0005319148936170213, 2017: 0.0, 2018: 0.0005319148936170213, 2019: 0.04840425531914894, 2020: 0.44148936170212766, 2021: 0.2473404255319149, 2022: 0.15319148936170213, 2023: 0.10691489361702128}"
Body,2020,"{2014: 0.0009250693802035153, 2015: 0.0009250693802035153, 2016: 0.0018501387604070306, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.7076780758556892, 2021: 0.12210915818686402, 2022: 0.10175763182238667, 2023: 0.06475485661424607}"
Bohemian Rhapsody - Remastered 2011,1975,"{2014: 0.05545927209705372, 2015: 0.05545927209705372, 2016: 0.0511265164644714, 2017: 0.0, 2018: 0.045060658578856154, 2019: 0.45493934142114384, 2020: 0.16464471403812825, 2021: 0.07365684575389948, 2022: 0.06759098786828423, 2023: 0.032062391681109186}"
Bongos feat Megan Thee Stallion,2023,"{2014: 0.005494505494505495, 2015: 0.0, 2016: 0.005494505494505495, 2017: 0.005494505494505495, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 0.9835164835164835}"
Bood Up,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.006622516556291391, 2018: 0.7019867549668874, 2019: 0.1771523178807947, 2020: 0.05132450331125828, 2021: 0.023178807947019868, 2022: 0.023178807947019868, 2023: 0.016556291390728478}"
Bored,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.35673352435530087, 2022: 0.4899713467048711, 2023: 0.15329512893982808}"
Borracho y Loco,2023,"{2014: 0.23878020713463752, 2015: 0.21288837744533948, 2016: 0.18181818181818182, 2017: 0.0023014959723820483, 2018: 0.018411967779056387, 2019: 0.0713463751438435, 2020: 0.047180667433831994, 2021: 0.06559263521288838, 2022: 0.09522439585730726, 2023: 0.06645569620253164}"
BOTH,2023,"{2014: 0.046583850931677016, 2015: 0.037267080745341616, 2016: 0.0, 2017: 0.012422360248447204, 2018: 0.08385093167701864, 2019: 0.037267080745341616, 2020: 0.0, 2021: 0.027950310559006212, 2022: 0.059006211180124224, 2023: 0.6956521739130435}"
Boy With Luv feat Halsey,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.4730195177956372, 2020: 0.2227324913892078, 2021: 0.15958668197474168, 2022: 0.09758897818599312, 2023: 0.04707233065442021}"
boyfriend with Social House,2019,"{2014: 0.12568807339449542, 2015: 0.07889908256880734, 2016: 0.07614678899082569, 2017: 0.06330275229357799, 2018: 0.0926605504587156, 2019: 0.1926605504587156, 2020: 0.1614678899082569, 2021: 0.0779816513761468, 2022: 0.060550458715596334, 2023: 0.07064220183486239}"
