track_name,release_year,year_distribution
Dance The Night - From Barbie The Album,2023,"{2014: 0.0, 2015: 0.02394106813996317, 2016: 0.04419889502762431, 2017: 0.04419889502762431, 2018: 0.0570902394106814, 2019: 0.03867403314917127, 2020: 0.02394106813996317, 2021: 0.02578268876611418, 2022: 0.01289134438305709, 2023: 0.7292817679558011}"
Dancing With A Stranger with Normani,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.7619047619047619, 2020: 0.08058608058608059, 2021: 0.054945054945054944, 2022: 0.05982905982905983, 2023: 0.042735042735042736}"
Dandelions,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.327693677649154, 2023: 0.672306322350846}"
death bed coffee for your head,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.6074950690335306, 2021: 0.07297830374753451, 2022: 0.1952662721893491, 2023: 0.1242603550295858}"
deja vu,2021,"{2014: 0.0027198549410698096, 2015: 0.001813236627379873, 2016: 0.003626473254759746, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.4197642792384406, 2022: 0.4134179510426111, 2023: 0.1586582048957389}"
Delicate,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.382202304737516, 2019: 0.19526248399487836, 2020: 0.10819462227912932, 2021: 0.08002560819462227, 2022: 0.10307298335467349, 2023: 0.13124199743918052}"
Desesperados,2021,"{2014: 0.001176470588235294, 2015: 0.001176470588235294, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.018823529411764704, 2022: 0.8329411764705882, 2023: 0.14588235294117646}"
Despacito,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.6694915254237288, 2018: 0.18135593220338983, 2019: 0.06440677966101695, 2020: 0.04067796610169491, 2021: 0.022033898305084745, 2022: 0.020338983050847456, 2023: 0.001694915254237288}"
Despacito - Remix,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.6694915254237288, 2018: 0.18135593220338983, 2019: 0.06440677966101695, 2020: 0.04067796610169491, 2021: 0.022033898305084745, 2022: 0.020338983050847456, 2023: 0.001694915254237288}"
Dick feat Doja Cat,2021,"{2014: 0.0017937219730941704, 2015: 0.0026905829596412557, 2016: 0.0008968609865470852, 2017: 0.0, 2018: 0.0017937219730941704, 2019: 0.0026905829596412557, 2020: 0.0026905829596412557, 2021: 0.07533632286995516, 2022: 0.6860986547085202, 2023: 0.22600896860986547}"
Different Kind Of Beautiful,2023,"{2014: 0.09156626506024096, 2015: 0.09397590361445783, 2016: 0.014457831325301205, 2017: 0.10602409638554217, 2018: 0.06506024096385542, 2019: 0.06506024096385542, 2020: 0.03614457831325301, 2021: 0.03855421686746988, 2022: 0.05542168674698795, 2023: 0.43373493975903615}"
Djala Que Vuelva feat Manuel Turizo,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.1473851030110935, 2018: 0.6782884310618067, 2019: 0.07606973058637084, 2020: 0.03803486529318542, 2021: 0.01901743264659271, 2022: 0.020602218700475437, 2023: 0.020602218700475437}"
DKITI,2020,"{2014: 0.017639077340569877, 2015: 0.025780189959294438, 2016: 0.024423337856173677, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.2510176390773406, 2021: 0.42740841248303935, 2022: 0.1628222523744912, 2023: 0.09090909090909091}"
DNA,2017,"{2014: 0.001152073732718894, 2015: 0.0, 2016: 0.0, 2017: 0.2252304147465438, 2018: 0.3519585253456221, 2019: 0.16820276497695852, 2020: 0.10944700460829493, 2021: 0.03513824884792627, 2022: 0.044930875576036866, 2023: 0.06394009216589862}"
do re mi,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0006954102920723226, 2017: 0.019471488178025034, 2018: 0.5090403337969402, 2019: 0.23157162726008346, 2020: 0.10917941585535466, 2021: 0.05702364394993046, 2022: 0.04450625869262865, 2023: 0.02851182197496523}"
Doin Time,2019,"{2014: 0.029497098646034815, 2015: 0.021760154738878143, 2016: 0.019825918762088973, 2017: 0.00048355899419729207, 2018: 0.0, 2019: 0.07833655705996131, 2020: 0.16489361702127658, 2021: 0.07736943907156674, 2022: 0.3820116054158607, 2023: 0.22582205029013538}"
Done for Me feat Kehlani,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.5452054794520548, 2019: 0.22054794520547946, 2020: 0.11095890410958904, 2021: 0.045205479452054796, 2022: 0.038356164383561646, 2023: 0.03972602739726028}"
Dont Call Me Up,2019,"{2014: 0.02714535901926445, 2015: 0.020140105078809107, 2016: 0.021015761821366025, 2017: 0.0017513134851138354, 2018: 0.0, 2019: 0.5437828371278459, 2020: 0.22329246935201402, 2021: 0.0796847635726795, 2022: 0.053415061295971976, 2023: 0.0297723292469352}"
Dont Start Now,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.001215066828675577, 2017: 0.001215066828675577, 2018: 0.0, 2019: 0.041312272174969626, 2020: 0.5309842041312273, 2021: 0.2077764277035237, 2022: 0.1336573511543135, 2023: 0.08383961117861483}"
Dont Wanna Know feat Kendrick Lamar,2018,"{2014: 0.010126582278481013, 2015: 0.0, 2016: 0.46835443037974683, 2017: 0.31139240506329113, 2018: 0.08354430379746836, 2019: 0.05569620253164557, 2020: 0.035443037974683546, 2021: 0.030379746835443037, 2022: 0.005063291139240506, 2023: 0.0}"
drivers license,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.6736672051696284, 2022: 0.23747980613893377, 2023: 0.0888529886914378}"
Drowning feat Kodak Black,2017,"{2014: 0.006329113924050633, 2015: 0.006329113924050633, 2016: 0.005274261603375527, 2017: 0.3391350210970464, 2018: 0.29483122362869196, 2019: 0.10970464135021098, 2020: 0.052742616033755275, 2021: 0.02531645569620253, 2022: 0.1070675105485232, 2023: 0.05327004219409283}"
Dura,2018,"{2014: 0.0037735849056603774, 2015: 0.002830188679245283, 2016: 0.007547169811320755, 2017: 0.005660377358490566, 2018: 0.7537735849056604, 2019: 0.12641509433962264, 2020: 0.05, 2021: 0.022641509433962263, 2022: 0.01509433962264151, 2023: 0.012264150943396227}"
Dusk Till Dawn feat Sia - Radio Edit,2017,"{2014: 0.0013253810470510272, 2015: 0.0019880715705765406, 2016: 0.0006626905235255136, 2017: 0.0, 2018: 0.0, 2019: 0.00927766732935719, 2020: 0.508283631544069, 2021: 0.28098078197481774, 2022: 0.12060967528164347, 2023: 0.07687210072895957}"
Dynamite,2020,"{2014: 0.061211742660836975, 2015: 0.05371642723297939, 2016: 0.03872579637726421, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.18550905683947533, 2021: 0.452841973766396, 2022: 0.17676452217364147, 2023: 0.03123048094940662}"
EARFQUAKE,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.41832669322709165, 2020: 0.23638778220451528, 2021: 0.12616201859229748, 2022: 0.11819389110225764, 2023: 0.10092961487383798}"
Easier,2020,"{2014: 0.06510607168983175, 2015: 0.06803218727139722, 2016: 0.05779078273591807, 2017: 0.0, 2018: 0.0, 2019: 0.3584491587417703, 2020: 0.18215069495245062, 2021: 0.09656181419166057, 2022: 0.10826627651792246, 2023: 0.06364301389904901}"
Eastside with Halsey  Khalid,2018,"{2014: 0.019290123456790122, 2015: 0.017746913580246913, 2016: 0.014660493827160493, 2017: 0.0, 2018: 0.2770061728395062, 2019: 0.4236111111111111, 2020: 0.10725308641975309, 2021: 0.05787037037037037, 2022: 0.04861111111111111, 2023: 0.033950617283950615}"
Easy On Me,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.30089485458612975, 2022: 0.5637583892617449, 2023: 0.13534675615212527}"
Efecto,2022,"{2014: 0.0017035775127768314, 2015: 0.0017035775127768314, 2016: 0.0, 2017: 0.0, 2018: 0.0017035775127768314, 2019: 0.0017035775127768314, 2020: 0.0, 2021: 0.0, 2022: 0.10902896081771721, 2023: 0.8841567291311755}"
ELEMENT,2017,"{2014: 0.0032981530343007917, 2015: 0.0006596306068601583, 2016: 0.0013192612137203166, 2017: 0.07255936675461741, 2018: 0.41490765171503957, 2019: 0.21240105540897097, 2020: 0.19195250659630606, 2021: 0.04155672823218998, 2022: 0.040237467018469655, 2023: 0.021108179419525065}"
emotions,2019,"{2014: 0.004209260372820205, 2015: 0.0, 2016: 0.004810583283223091, 2017: 0.006013229104028864, 2018: 0.0012026458208057728, 2019: 0.20805772699939867, 2020: 0.43475646422128683, 2021: 0.19603126879134095, 2022: 0.10222489476849068, 2023: 0.04269392663860493}"
Endless Fashion feat Nicki Minaj,2023,"{2014: 0.013404825737265416, 2015: 0.00804289544235925, 2016: 0.002680965147453083, 2017: 0.00804289544235925, 2018: 0.013404825737265416, 2019: 0.002680965147453083, 2020: 0.01876675603217158, 2021: 0.005361930294906166, 2022: 0.005361930294906166, 2023: 0.9222520107238605}"
Enemy with JID - from the series Arcane League of Legends,2021,"{2014: 0.014308426073131956, 2015: 0.006359300476947536, 2016: 0.0, 2017: 0.00397456279809221, 2018: 0.00397456279809221, 2019: 0.006359300476947536, 2020: 0.0047694753577106515, 2021: 0.07074721780604133, 2022: 0.6375198728139905, 2023: 0.2519872813990461}"
everything i wanted,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0006455777921239509, 2017: 0.0, 2018: 0.0, 2019: 0.0006455777921239509, 2020: 0.0, 2021: 0.016785022595222725, 2022: 0.5196901226597805, 2023: 0.46223369916074886}"
Eyes Closed,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
Fair Trade with Travis Scott,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.000998003992015968, 2017: 0.001996007984031936, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.2754491017964072, 2022: 0.4231536926147705, 2023: 0.29840319361277445}"
Fake Love,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.21084337349397592, 2017: 0.40963855421686746, 2018: 0.3333333333333333, 2019: 0.024096385542168676, 2020: 0.02208835341365462, 2021: 0.0, 2022: 0.0, 2023: 0.0}"
Falling,2020,"{2014: 0.007560137457044674, 2015: 0.006185567010309278, 2016: 0.006872852233676976, 2017: 0.0006872852233676976, 2018: 0.003436426116838488, 2019: 0.13127147766323025, 2020: 0.4948453608247423, 2021: 0.19518900343642612, 2022: 0.088659793814433, 2023: 0.06529209621993128}"
Feel It Still,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.412962962962963, 2018: 0.33611111111111114, 2019: 0.10462962962962963, 2020: 0.05462962962962963, 2021: 0.037037037037037035, 2022: 0.032407407407407406, 2023: 0.022222222222222223}"
Feels feat Pharrell Williams Katy Perry  Big Sean,2017,"{2014: 0.0196078431372549, 2015: 0.0016339869281045752, 2016: 0.0032679738562091504, 2017: 0.6535947712418301, 2018: 0.119281045751634, 2019: 0.0457516339869281, 2020: 0.04084967320261438, 2021: 0.029411764705882353, 2022: 0.05718954248366013, 2023: 0.029411764705882353}"
FEFE feat Nicki Minaj  Murda Beatz,2018,"{2014: 0.04097452934662237, 2015: 0.02547065337763012, 2016: 0.026578073089700997, 2017: 0.036544850498338874, 2018: 0.4496124031007752, 2019: 0.17275747508305647, 2020: 0.11184939091915837, 2021: 0.05537098560354374, 2022: 0.042081949058693245, 2023: 0.03875968992248062}"
Fetish feat Gucci Mane,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.3971861471861472, 2018: 0.3917748917748918, 2019: 0.08874458874458875, 2020: 0.05303030303030303, 2021: 0.03571428571428571, 2022: 0.01948051948051948, 2023: 0.01406926406926407}"
Finesse - Remix feat Cardi B,2017,"{2014: 0.04427333974975938, 2015: 0.04523580365736285, 2016: 0.04619826756496631, 2017: 0.008662175168431183, 2018: 0.5158806544754572, 2019: 0.136669874879692, 2020: 0.07507218479307026, 2021: 0.04331087584215592, 2022: 0.06737247353224254, 2023: 0.017324350336862367}"
First Class,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.8464491362763915, 2023: 0.15355086372360843}"
Freaky Friday feat Chris Brown,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.6444444444444445, 2019: 0.18383838383838383, 2020: 0.0707070707070707, 2021: 0.04040404040404041, 2022: 0.03838383838383838, 2023: 0.022222222222222223}"
FRIENDS,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.7125, 2019: 0.14444444444444443, 2020: 0.07916666666666666, 2021: 0.0375, 2022: 0.02361111111111111, 2023: 0.002777777777777778}"
fukumean,2023,"{2014: 0.003194888178913738, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 0.9968051118210862}"
Galway Girl,2017,"{2014: 0.008391608391608392, 2015: 0.006526806526806527, 2016: 0.005128205128205128, 2017: 0.10023310023310024, 2018: 0.31608391608391606, 2019: 0.17435897435897435, 2020: 0.15571095571095572, 2021: 0.04149184149184149, 2022: 0.09324009324009325, 2023: 0.09883449883449884}"
Ghost,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.029918404351767906, 2022: 0.641885766092475, 2023: 0.32819582955575705}"
Giant with RagnBone Man,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.5615942028985508, 2020: 0.21980676328502416, 2021: 0.057971014492753624, 2022: 0.09541062801932366, 2023: 0.06521739130434782}"
Gimme Love,2023,"{2014: 0.03365384615384615, 2015: 0.02403846153846154, 2016: 0.019230769230769232, 2017: 0.014423076923076924, 2018: 0.009615384615384616, 2019: 0.009615384615384616, 2020: 0.004807692307692308, 2021: 0.014423076923076924, 2022: 0.009615384615384616, 2023: 0.8605769230769231}"
Girl From Rio,2021,"{2014: 0.006369426751592357, 2015: 0.01019108280254777, 2016: 0.003821656050955414, 2017: 0.0, 2018: 0.0012738853503184713, 2019: 0.005095541401273885, 2020: 0.006369426751592357, 2021: 0.46496815286624205, 2022: 0.3464968152866242, 2023: 0.1554140127388535}"
GIRL LIKE ME,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.004497751124437781, 2021: 0.6881559220389805, 2022: 0.17691154422788605, 2023: 0.13043478260869565}"
Girls Want Girls with Lil Baby,2021,"{2014: 0.006172839506172839, 2015: 0.0015432098765432098, 2016: 0.0015432098765432098, 2017: 0.0015432098765432098, 2018: 0.0015432098765432098, 2019: 0.0, 2020: 0.0030864197530864196, 2021: 0.47685185185185186, 2022: 0.3626543209876543, 2023: 0.14506172839506173}"
Glimpse of Us,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.750524109014675, 2023: 0.24947589098532494}"
Glorious feat Skylar Grey,2017,"{2014: 0.01276207839562443, 2015: 0.01276207839562443, 2016: 0.009115770282588878, 2017: 0.3108477666362808, 2018: 0.3609845031905196, 2019: 0.15496809480401094, 2020: 0.06289881494986327, 2021: 0.037374658158614404, 2022: 0.020966271649954422, 2023: 0.01731996353691887}"
God is a woman,2018,"{2014: 0.0010362694300518134, 2015: 0.0031088082901554403, 2016: 0.004145077720207254, 2017: 0.0, 2018: 0.40518134715025905, 2019: 0.19896373056994818, 2020: 0.14507772020725387, 2021: 0.1305699481865285, 2022: 0.06839378238341969, 2023: 0.043523316062176166}"
Gods Plan,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.6842837273991655, 2019: 0.11126564673157163, 2020: 0.06815020862308763, 2021: 0.04450625869262865, 2022: 0.05006954102920723, 2023: 0.04172461752433936}"
Godzilla feat Juice WRLD,2020,"{2014: 0.0013351134846461949, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.6114819759679573, 2021: 0.1628838451268358, 2022: 0.1308411214953271, 2023: 0.09345794392523364}"
Going Bad feat Drake,2018,"{2014: 0.0, 2015: 0.0012091898428053204, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.5574365175332527, 2020: 0.17654171704957677, 2021: 0.09673518742442563, 2022: 0.10519951632406288, 2023: 0.06287787182587666}"
good 4 u,2021,"{2014: 0.022222222222222223, 2015: 0.027777777777777776, 2016: 0.018518518518518517, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.6685185185185185, 2022: 0.17962962962962964, 2023: 0.08333333333333333}"
Good as Hell,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.016260162601626018, 2017: 0.016260162601626018, 2018: 0.034552845528455285, 2019: 0.4054878048780488, 2020: 0.33028455284552843, 2021: 0.09959349593495935, 2022: 0.06605691056910569, 2023: 0.031504065040650404}"
Good Days,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.5554435483870968, 2022: 0.22580645161290322, 2023: 0.21875}"
Goodbyes feat Young Thug,2019,"{2014: 0.000945179584120983, 2015: 0.001890359168241966, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.30623818525519847, 2020: 0.3544423440453686, 2021: 0.14083175803402648, 2022: 0.11153119092627599, 2023: 0.08412098298676748}"
goosebumps,2016,"{2014: 0.004634994206257242, 2015: 0.004634994206257242, 2016: 0.008111239860950173, 2017: 0.0034762456546929316, 2018: 0.0034762456546929316, 2019: 0.004634994206257242, 2020: 0.008111239860950173, 2021: 0.6361529548088065, 2022: 0.24565469293163383, 2023: 0.08111239860950174}"
Grace,2019,"{2014: 0.006247211066488175, 2015: 0.00535475234270415, 2016: 0.009817045961624275, 2017: 0.0035698348951361, 2018: 0.024542614904060688, 2019: 0.36501561802766624, 2020: 0.23025435073627845, 2021: 0.19321731369924142, 2022: 0.11869701026327532, 2023: 0.043284248103525214}"
greedy,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
Green Light,2017,"{2014: 0.010942760942760943, 2015: 0.0025252525252525255, 2016: 0.007575757575757576, 2017: 0.39814814814814814, 2018: 0.22895622895622897, 2019: 0.12037037037037036, 2020: 0.09006734006734007, 2021: 0.06228956228956229, 2022: 0.0563973063973064, 2023: 0.022727272727272728}"
Happier,2018,"{2014: 0.00989282769991756, 2015: 0.00989282769991756, 2016: 0.008244023083264633, 2017: 0.0, 2018: 0.00989282769991756, 2019: 0.5581203627370157, 2020: 0.17477328936521022, 2021: 0.11211871393239901, 2022: 0.06760098928276999, 2023: 0.0494641384995878}"
Happier Than Ever,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.2026058631921824, 2022: 0.498371335504886, 2023: 0.2990228013029316}"
Havana feat Young Thug,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.010526315789473684, 2020: 0.8526315789473684, 2021: 0.13289473684210526, 2022: 0.003947368421052632, 2023: 0.0}"
Hawi,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.38335607094133695, 2021: 0.3792633015006821, 2022: 0.15688949522510232, 2023: 0.08049113233287858}"
Head  Heart feat MNEK,2020,"{2014: 0.05531914893617021, 2015: 0.04, 2016: 0.04085106382978723, 2017: 0.000851063829787234, 2018: 0.0, 2019: 0.0, 2020: 0.3574468085106383, 2021: 0.32085106382978723, 2022: 0.1251063829787234, 2023: 0.059574468085106386}"
Heartbreak Anniversary,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.01639344262295082, 2021: 0.7668488160291439, 2022: 0.14389799635701275, 2023: 0.07285974499089254}"
Heat Waves,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.03263403263403263, 2022: 0.5093240093240093, 2023: 0.458041958041958}"
Here With Me,2019,"{2014: 0.02843016069221261, 2015: 0.023485784919653894, 2016: 0.01668726823238566, 2017: 0.0, 2018: 0.0, 2019: 0.26514215080346104, 2020: 0.12546353522867737, 2021: 0.0723114956736712, 2022: 0.13967861557478367, 2023: 0.3288009888751545}"
High Hopes,2018,"{2014: 0.10539096648858669, 2015: 0.08839242350655659, 2016: 0.06070908207867897, 2017: 0.0, 2018: 0.003399708596406022, 2019: 0.26954832442933463, 2020: 0.20543953375424964, 2021: 0.11267605633802817, 2022: 0.08984944147644487, 2023: 0.06459446333171442}"
Higher Love,2019,"{2014: 0.051982378854625554, 2015: 0.033480176211453744, 2016: 0.03612334801762115, 2017: 0.0, 2018: 0.0, 2019: 0.39383259911894275, 2020: 0.25726872246696036, 2021: 0.08722466960352424, 2022: 0.06960352422907488, 2023: 0.07048458149779736}"
HIGHEST IN THE ROOM,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.03351351351351351, 2020: 0.614054054054054, 2021: 0.16864864864864865, 2022: 0.10270270270270271, 2023: 0.08108108108108109}"
Him  I with Halsey,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.7056, 2019: 0.2352, 2020: 0.0576, 2021: 0.0, 2022: 0.0, 2023: 0.0016}"
Hold Me While You Wait,2019,"{2014: 0.0010787486515641855, 2015: 0.0005393743257820927, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.22006472491909385, 2020: 0.4741100323624595, 2021: 0.18176914778856526, 2022: 0.08090614886731391, 2023: 0.041531823085221145}"
Hold On,2021,"{2014: 0.002190580503833516, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.49178532311062434, 2022: 0.343921139101862, 2023: 0.16210295728368018}"
Home with Machine Gun Kelly X Ambassadors  Bebe Rexha,2017,"{2014: 0.0006042296072507553, 2015: 0.0012084592145015106, 2016: 0.0, 2017: 0.04471299093655589, 2018: 0.40181268882175225, 2019: 0.1190332326283988, 2020: 0.16012084592145015, 2021: 0.09728096676737161, 2022: 0.11782477341389729, 2023: 0.05740181268882175}"
Houdini,2023,"{2014: 0.0, 2015: 0.009615384615384616, 2016: 0.0, 2017: 0.009615384615384616, 2018: 0.009615384615384616, 2019: 0.009615384615384616, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 0.9615384615384616}"
How Do You Sleep,2019,"{2014: 0.018867924528301886, 2015: 0.014150943396226415, 2016: 0.01179245283018868, 2017: 0.0, 2018: 0.0, 2019: 0.4964622641509434, 2020: 0.3125, 2021: 0.0695754716981132, 2022: 0.04834905660377359, 2023: 0.02830188679245283}"
How Long,2018,"{2014: 0.03564453125, 2015: 0.03564453125, 2016: 0.02587890625, 2017: 0.10302734375, 2018: 0.4033203125, 2019: 0.1435546875, 2020: 0.14697265625, 2021: 0.03759765625, 2022: 0.05322265625, 2023: 0.01513671875}"
Human,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.06291759465478843, 2017: 0.39643652561247217, 2018: 0.2767260579064588, 2019: 0.10857461024498886, 2020: 0.053452115812917596, 2021: 0.04120267260579064, 2022: 0.03841870824053452, 2023: 0.022271714922048998}"
HUMBLE,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.07657657657657657, 2018: 0.3508508508508508, 2019: 0.16866866866866867, 2020: 0.1061061061061061, 2021: 0.11811811811811812, 2022: 0.12762762762762764, 2023: 0.05205205205205205}"
Hurricane,2021,"{2014: 0.0038138825324180014, 2015: 0.002288329519450801, 2016: 0.0007627765064836003, 2017: 0.0, 2018: 0.005339435545385202, 2019: 0.002288329519450801, 2020: 0.0015255530129672007, 2021: 0.2669717772692601, 2022: 0.5614035087719298, 2023: 0.15560640732265446}"
I Aint Worried,2022,"{2014: 0.0024449877750611247, 2015: 0.0, 2016: 0.0012224938875305623, 2017: 0.003667481662591687, 2018: 0.0012224938875305623, 2019: 0.007334963325183374, 2020: 0.0024449877750611247, 2021: 0.0024449877750611247, 2022: 0.5647921760391198, 2023: 0.41442542787286063}"
I Dont Care with Justin Bieber,2019,"{2014: 0.0193929173693086, 2015: 0.012647554806070826, 2016: 0.03456998313659359, 2017: 0.0, 2018: 0.0, 2019: 0.34317032040472173, 2020: 0.2630691399662732, 2021: 0.12984822934232715, 2022: 0.09696458684654301, 2023: 0.10033726812816189}"
I Dont Wanna Live Forever Fifty Shades Darker,2017,"{2014: 0.012409513960703205, 2015: 0.012409513960703205, 2016: 0.07652533609100311, 2017: 0.5542916235780765, 2018: 0.12616339193381593, 2019: 0.07238883143743537, 2020: 0.055842812823164424, 2021: 0.03722854188210962, 2022: 0.027921406411582212, 2023: 0.02481902792140641}"
I Fall Apart,2016,"{2014: 0.0, 2015: 0.0, 2016: 0.005072463768115942, 2017: 0.24202898550724639, 2018: 0.43623188405797103, 2019: 0.15217391304347827, 2020: 0.0927536231884058, 2021: 0.034057971014492754, 2022: 0.017391304347826087, 2023: 0.020289855072463767}"
I Feel It Coming,2016,"{2014: 0.0, 2015: 0.0, 2016: 0.021297192642787996, 2017: 0.5847047434656341, 2018: 0.13068731848983542, 2019: 0.09583736689254599, 2020: 0.05808325266214908, 2021: 0.0484027105517909, 2022: 0.03291384317521781, 2023: 0.028073572120038724}"
I Like It,2018,"{2014: 0.028784648187633263, 2015: 0.0255863539445629, 2016: 0.017057569296375266, 2017: 0.0, 2018: 0.4925373134328358, 2019: 0.21748400852878466, 2020: 0.10554371002132196, 2021: 0.054371002132196165, 2022: 0.03837953091684435, 2023: 0.02025586353944563}"
I Like Me Better,2018,"{2014: 0.004044489383215369, 2015: 0.003707448601280755, 2016: 0.003033367037411527, 2017: 0.14459049544994945, 2018: 0.30670711156049885, 2019: 0.2012133468149646, 2020: 0.1412200876306033, 2021: 0.08426019548365352, 2022: 0.08190091001011122, 2023: 0.029322548028311426}"
I Love You So,2014,"{2014: 0.024639423076923076, 2015: 0.021634615384615384, 2016: 0.013822115384615384, 2017: 0.0, 2018: 0.01201923076923077, 2019: 0.020432692307692308, 2020: 0.018028846153846152, 2021: 0.16346153846153846, 2022: 0.4801682692307692, 2023: 0.24579326923076922}"
I Miss You feat Julia Michaels,2018,"{2014: 0.08969398522687302, 2015: 0.09110094970102005, 2016: 0.08054871614491733, 2017: 0.015828350334154064, 2018: 0.30425606753429474, 2019: 0.17200140696447414, 2020: 0.12310939148786493, 2021: 0.04642982764685192, 2022: 0.0531129088990503, 2023: 0.02391839606049947}"
